I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
4.000000,4.712389,0.050000,0.000000,0.000000,0.025018,0.034468,0.000000,-8.592773,-2.959446,0.000000,-0.021970,0.043940,0.021970,0.029713,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.050710,0.013481,0.000000,-8.605701,-3.049788,0.000000,-0.043940,0.043940,0.021970,0.048127,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.042513,-0.009601,0.000000,-8.539743,-3.112416,0.000000,-0.043940,0.021970,0.021970,0.043096,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.042529,0.007475,0.000000,-8.503051,-3.235482,0.000000,-0.043940,0.043940,0.021970,0.047535,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.033138,0.044930,0.000000,-8.398772,-3.574000,0.000000,-0.021970,0.043940,0.065910,0.027275,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.032314,0.027915,0.000000,-8.318987,-3.654512,0.000000,-0.043940,0.043940,0.000000,0.046879,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.032025,0.050678,0.000000,-8.240986,-3.922082,0.000000,-0.043940,0.043940,0.043940,0.046406,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.037498,0.027460,0.000000,-8.191110,-4.021274,0.000000,-0.021970,0.043940,0.043940,0.025566,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.032776,0.018536,0.000000,-8.079471,-4.213995,0.000000,-0.021970,0.021970,0.043940,0.022822,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.048635,0.024376,0.000000,-7.999040,-4.372413,0.000000,-0.043940,0.043940,0.021970,0.045102,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.013648,0.028283,0.000000,-7.789942,-4.588056,0.000000,-0.021970,0.043940,0.043940,0.023344,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.046215,0.017736,0.000000,-7.754563,-4.720826,0.000000,-0.043940,0.043940,0.065910,0.044238,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.018272,0.014190,0.000000,-7.581085,-4.938461,0.000000,-0.021970,0.021970,0.021970,0.021968,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.056901,-0.009652,0.000000,-7.561037,-5.031318,0.000000,-0.065910,0.021970,0.043940,0.066216,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.041427,0.020561,0.000000,-7.443549,-5.216187,0.000000,-0.043940,0.021970,0.021970,0.043927,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.036434,0.018708,0.000000,-7.316563,-5.339426,0.000000,-0.021970,0.043940,0.043940,0.019610,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.028506,0.022858,0.000000,-7.189136,-5.568888,0.000000,-0.043940,0.021970,0.021970,0.043857,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.033873,0.009135,0.000000,-7.165073,-5.610631,0.000000,-0.021970,0.021970,0.065910,0.020646,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.045808,0.014329,0.000000,-7.019184,-5.750588,0.000000,-0.043940,0.043940,0.043940,0.040932,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.040274,0.034593,0.000000,-6.931922,-5.959096,0.000000,-0.043940,0.021970,0.043940,0.043610,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.026973,0.045012,0.000000,-6.773293,-6.174124,0.000000,-0.043940,0.021970,0.043940,0.043540,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.062829,-0.030090,0.000000,-6.790314,-6.072251,0.000000,-0.043940,0.000000,0.043940,0.047719,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.036670,0.006784,0.000000,-6.629308,-6.332683,0.000000,-0.043940,0.021970,0.065910,0.043293,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.023790,0.031718,0.000000,-6.495988,-6.501565,0.000000,-0.043940,0.021970,0.043940,0.043096,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.026544,0.031421,0.000000,-6.354290,-6.654510,0.000000,-0.043940,0.043940,0.065910,0.037011,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.023195,0.009293,0.000000,-6.263594,-6.772944,0.000000,0.000000,0.021970,0.043940,-0.006164,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.023869,0.025959,0.000000,-6.121583,-6.917719,0.000000,-0.043940,0.043940,0.021970,0.035723,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.049493,-0.006227,0.000000,-6.029354,-6.992357,0.000000,-0.043940,0.000000,0.065910,0.049414,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.016743,0.007537,0.000000,-5.823926,-7.128004,0.000000,-0.021970,0.000000,0.087880,0.024855,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.034536,0.005720,0.000000,-5.754781,-7.239739,0.000000,-0.021970,0.043940,0.021970,0.009008,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.041409,0.034122,0.000000,-5.529146,-7.483065,0.000000,-0.043940,0.021970,0.065910,0.041550,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.029855,0.031860,0.000000,-5.375726,-7.625516,0.000000,-0.043940,0.021970,0.065910,0.041371,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.032356,0.008321,0.000000,-5.251698,-7.656650,0.000000,-0.043940,0.000000,0.043940,0.050416,0.000000
